symbol,security_id,acquisition_status,structural_validation,raw_rows,session_rows,trading_days,bar_coverage_pct,out_of_session_rows_quarantined,duplicate_rows_removed,provider_ohlc_anomalies_quarantined,max_intraday_gap_minutes,feature_days_with_complete_opening10,feature_status,raw_1min_file,warning_reasons
VOLTAS,3718,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/VOLTAS.parquet,
VTL,2073,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/VTL.parquet,out_of_session_rows_quarantined
WAAREEENER,25907,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/WAAREEENER.parquet,
WELCORP,11821,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/WELCORP.parquet,out_of_session_rows_quarantined
WELSPUNLIV,11253,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/WELSPUNLIV.parquet,out_of_session_rows_quarantined
WHIRLPOOL,18011,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/WHIRLPOOL.parquet,out_of_session_rows_quarantined
WIPRO,3787,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/WIPRO.parquet,
WOCKPHARMA,7506,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/WOCKPHARMA.parquet,out_of_session_rows_quarantined
YESBANK,11915,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/YESBANK.parquet,
ZEEL,3812,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ZEEL.parquet,out_of_session_rows_quarantined
ZENSARTECH,1076,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ZENSARTECH.parquet,out_of_session_rows_quarantined
ZENTEC,7508,ACQUIRED,OK,92334,92310,247,99.65991902834008,24,2992,0,1.0,246,AVAILABLE,raw_1min/ZENTEC.parquet,out_of_session_rows_quarantined
ZFCVINDIA,16915,ACQUIRED,OK,92328,92304,247,99.65344129554656,24,2992,0,1.0,242,AVAILABLE,raw_1min/ZFCVINDIA.parquet,out_of_session_rows_quarantined
ZYDUSLIFE,7929,ACQUIRED,OK,92010,92010,247,99.33603238866397,0,2977,0,1.0,246,AVAILABLE,raw_1min/ZYDUSLIFE.parquet,
ZYDUSWELL,17635,ACQUIRED,OK,92333,92309,247,99.65883940620782,24,2992,0,1.0,245,AVAILABLE,raw_1min/ZYDUSWELL.parquet,out_of_session_rows_quarantined
