symbol,trade_date,previous_close,open,close,gap_pct,first10_return_pct,first10_range_pct,first10_volume,day_volume,traded_value,day_range_pct,post10_max_up_pct,post10_max_down_pct,first10_direction,close_continuation_after10,reversal_flag,bars,session_coverage_pct,opening10_complete,opening10_missing_bars,batch_number
BHARATFORG,2026-07-03,2145.9,2160.0,2143.9,0.0065706696490981376,0.09259259259259967,1.2453703703703747,47810.0,534477.0,1149181582.6999998,2.101851851851856,0.6012950971322928,-1.4986123959296993,1,0.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-06,2143.9,2139.9,2135.1,-0.0018657586641167567,0.2944062806673031,1.28977989625683,28979.0,647771.0,1391529729.6,1.967381653348283,1.3931600037275338,-0.5684465567048602,1,0.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-07,2135.1,2136.0,2111.0,0.000421525923844257,-0.9363295880149836,1.3998127340824011,37468.0,768028.0,1621117407.7,2.214419475655439,0.31190926275992403,-0.9168241965973545,-1,1.0,0,375,100.0,True,0,2
BHARATFORG,2026-07-08,2111.0,2108.1,2104.2,-0.0013737565135008012,0.3367961671647324,1.266543332858964,26500.0,859018.0,1817417186.4,3.1734737441297893,1.6405068078668705,-1.5223146747352367,1,0.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-09,2104.2,2102.0,2139.0,-0.0010455279916357085,0.3996194100856387,0.6089438629876395,21888.0,584038.0,1237860257.1999998,2.6070409134157817,1.4120545868081757,-1.184609552691429,1,1.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-10,2139.0,2143.4,2121.1,0.002057035998130008,-0.29392553886349315,1.1617057012223613,26675.0,487027.0,1035381808.1,2.41672109732202,0.45388610734173884,-1.3569790838051543,-1,1.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-13,2121.1,2108.0,2149.0,-0.006176040733581578,-0.1944971537001905,0.9629981024667802,26355.0,625368.0,1334858520.5,2.6897533206831032,2.3337611103189326,-0.0380246209420676,-1,0.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-14,2149.0,2137.4,2115.0,-0.005397859469520649,-0.6924300552072715,1.333395714419388,17965.0,566817.0,1199794317.1,2.3813979601384903,0.5512107792330356,-1.1542447941204181,-1,1.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-15,2115.0,2124.0,2097.0,0.004255319148936065,0.7297551789077206,1.3370998116760873,23889.0,717879.0,1517020667.2000003,2.678907721280607,0.02336994624911881,-2.0565552699228773,1,0.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-16,2097.0,2102.3,2105.0,0.0025274201239866567,-0.5470199305522505,1.1749036769252852,39238.0,831450.0,1749407755.1000001,2.1262426865813544,1.7170461067533838,-0.4208915247752132,-1,0.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-17,2105.0,2101.0,2195.0,-0.0019002375296912621,0.7187053783912489,1.5135649690623598,43529.0,1938214.0,4188514468.5,4.5549738219895195,3.8088937195784656,-0.17484995983175766,1,1.0,0,375,100.0,True,0,2
BHARATFORG,2026-07-20,2195.0,2194.7,2208.1,-0.00013667425968122426,-0.3964095320544869,0.8839476921674987,63985.0,851312.0,1866131851.1000001,2.1096277395543894,1.344922232387935,-0.7731015553522402,-1,0.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-21,2208.1,2208.1,2199.4,0.0,0.12227707078484862,0.9238712014854236,24175.0,716956.0,1580826477.0,1.6484760653955723,0.3980459562149319,-1.0855798805862182,1,0.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-22,2199.4,2188.0,2184.5,-0.005183231790488407,1.1106032906764263,1.2065813528336422,27852.0,792449.0,1738361028.0,1.6224862888482632,0.12204493061518384,-1.4826198978438843,1,0.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-23,2184.5,2182.0,2177.0,-0.0011444266422522276,0.4857928505957787,1.1869844179651736,24089.0,760677.0,1658143793.6,2.19065077910175,0.656754537991433,-1.5233056645078902,1,0.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-24,2177.0,2162.0,2155.0,-0.006890215893431306,-0.18038852913968562,0.8788159111933395,15978.0,633015.0,1357871728.3,1.891766882516193,0.06023817246652019,-1.3901116723043394,-1,1.0,0,375,100.0,True,0,2
BHARATFORG,2026-07-27,2155.0,2168.0,2185.0,0.00603248259860778,0.24446494464944735,0.7795202952029562,14656.0,703467.0,1526428451.3,1.7250922509225133,0.7224037178484188,-0.9984815718032558,1,1.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-28,2185.0,2182.0,2168.4,-0.0013729977116704317,-0.9624197983501337,1.2969752520623157,24237.0,734587.0,1587197383.3,2.043996333638859,0.41647385469689713,-0.8792225821378952,-1,0.0,0,375,100.0,True,0,2
BHARATFORG,2026-07-29,2168.4,2173.5,2162.8,0.0023519645821803437,-0.0920174833218268,0.6395215090867307,13473.0,685521.0,1483813767.6,1.5550954681389548,0.3868293806124745,-0.9348376698135041,-1,1.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-30,2162.8,2165.0,2167.1,0.0010171999260217834,-0.18475750577366945,0.8036951501154777,10375.0,317220.0,684194588.8999999,1.5704387990762125,0.5043961129106878,-0.9069875057843513,-1,0.0,1,375,100.0,True,0,2
BHARATFORG,2026-07-31,2167.1,2164.7,2205.0,-0.0011074708135296873,1.1872314870420952,1.7369612417425007,45281.0,950965.0,2089194771.7999997,2.3606042407723895,1.0135135135135087,-0.3789262235208257,1,1.0,0,375,100.0,True,0,2
BHARATFORG,2026-08-03,2205.0,2218.0,2200.0,0.005895691609977272,0.347159603246161,1.0234445446348184,39028.0,571742.0,1262199132.0,1.825969341749324,0.3055218582917796,-1.5141303859459887,1,0.0,1,360,96.0,True,0,2
BHARATFORG,2026-08-04,2200.0,2213.2,2180.0,0.006000000000000005,-1.116031086210001,1.3780950659678295,21081.0,677004.0,1480499695.0,1.7079342129044002,0.4340872743888502,-0.5209047292666247,-1,1.0,0,360,96.0,True,0,2
BHARATFORG,2026-08-05,2180.0,2197.7,2200.0,0.00811926605504576,0.05915275060290881,1.214906493151944,30975.0,723093.0,1599164853.3000002,2.083996905856131,1.400636653024101,-0.6821282401091366,1,1.0,1,360,96.0,True,0,2
BHARATFORG,2026-08-06,2200.0,2197.1,2210.0,-0.001318181818181885,-0.7737472122343103,1.08779755131765,26869.0,878259.0,1935543371.1,2.1073232897910965,1.9402779689005278,-0.05045640108251037,-1,0.0,1,360,96.0,True,0,2
BHARATFORG,2026-08-07,2210.0,2209.9,2267.7,-4.524886877821377e-05,0.33033168921670075,1.515905697090366,22720.0,1135554.0,2548055039.5,3.60197293995203,2.3813819231463196,-0.3833664080822641,1,1.0,1,360,96.0,True,0,2
BHARATFORG,2026-08-10,2267.7,2278.8,2112.5,0.004894827358116416,-0.17114270668773246,0.9303142004563725,73022.0,5001150.0,10728021707.900002,10.483587853256102,0.8835553211130165,-9.6180051870412,-1,1.0,1,360,96.0,True,0,2
BHARATFORG,2026-08-11,2112.5,2114.9,2051.0,0.0011360946745562206,-2.4729301621826183,4.539221712610525,380531.0,3965352.0,8154958123.0,5.503806326540266,1.4253854358576623,-1.6774944245127488,-1,1.0,0,360,96.0,True,0,2
BHARATFORG,2026-08-12,2051.0,2051.0,2077.0,0.0,0.6240858117991355,1.3310580204778024,104207.0,1956787.0,4041833779.799999,1.7796196977084349,0.7558871983719406,-1.0078495978292579,1,1.0,1,360,96.0,True,0,2
BHARATFORG,2026-08-13,2077.0,2080.0,2089.7,0.001444390948483365,0.3750000000000142,0.9471153846153759,61006.0,1061591.0,2220703627.6,1.3461538461538463,0.728039084203469,-0.49334227416419907,1,1.0,1,360,96.0,True,0,2
BHARATFORG,2026-08-14,2089.7,2088.0,2064.0,-0.0008135139015168491,-0.32567049808429616,0.5028735632183908,20648.0,785999.0,1624174978.3999999,1.8247126436781564,0.11531808571978441,-1.37420718816067,-1,1.0,0,360,96.0,True,0,2
BHARATFORG,2026-08-17,2064.0,2057.8,2092.0,-0.003003875968992209,0.8212654290990162,1.535620565652634,59356.0,1141668.0,2381042183.2,2.1382058509087374,1.200173519063008,-0.1253193232756522,1,1.0,0,360,96.0,True,0,2
BHARATFORG,2026-08-18,2092.0,2089.9,2091.1,-0.0010038240917781271,-0.2201062251782293,0.7751567060625041,33168.0,751419.0,1567757076.9,1.665151442652767,0.546683930369718,-1.02143576463819,-1,0.0,1,360,96.0,True,0,2
BHARATFORG,2026-08-19,2091.1,2090.0,2058.2,-0.0005260389268805232,-0.9521531100478486,1.2727272727272685,33865.0,1246188.0,2573279189.1000004,2.220095693779909,0.5700207719433914,-1.03859716921888,-1,1.0,0,360,96.0,True,0,2
BHARATFORG,2026-08-20,2058.2,2071.1,2055.0,0.006267612476921647,-0.16416397083676149,0.9029018396021351,21419.0,403410.0,829590900.1999999,1.8734006083723604,0.24665086811435089,-1.088165594622037,-1,1.0,0,360,96.0,True,0,2
BHARATFORG,2026-08-21,2055.0,2054.0,2062.0,-0.00048661800486615725,-1.0126582278480956,1.338851022395326,44092.0,867198.0,1773921401.6000001,2.468354430379749,1.9083218571709581,-0.58528428093646,-1,0.0,1,360,96.0,True,0,2
BHARATFORG,2026-08-24,2062.0,2058.0,2040.7,-0.0019398642095053154,-0.0048590864917374965,0.5879494655004815,18621.0,972468.0,1991546955.0,1.4723032069970714,0.4519170027698083,-1.0204577481899069,-1,1.0,1,360,96.0,True,0,2
BHARATFORG,2026-08-25,2040.7,2040.5,2038.4,-9.800558631845036e-05,-0.17152658662092923,0.5831903945111537,10778.0,539491.0,1097029890.3,0.9752511639304138,0.3730976926853202,-0.5400098183603319,-1,0.0,1,360,96.0,True,0,2
BHARATFORG,2026-08-26,2038.4,2052.5,2006.1,0.006917189952904135,-0.506699147381251,0.6577344701583435,17374.0,444517.0,899440047.3,2.304506699147379,0.12242299593556716,-1.8069634200088114,-1,1.0,0,360,96.0,True,0,2
BHARATFORG,2026-08-27,2006.1,2006.0,2043.0,-4.984796371065858e-05,0.36390827517447377,0.922233300099701,17341.0,1444218.0,2935181191.2,2.0737786640079716,1.7036705905726812,-0.03476878756271118,1,1.0,0,360,96.0,True,0,2
BHARATFORG,2026-08-28,2043.0,2048.1,2030.6,0.0024963289280468537,-0.6591475025633509,0.7909770030760129,15854.0,345247.0,699261663.6,2.084859137737406,0.3440479701169785,-1.4351715324879444,-1,1.0,0,360,96.0,True,0,2
BHARTIARTL,2025-09-01,,1889.0,1900.5,,0.08470089994705443,0.5346744309158237,296401.0,3372680.0,6397466478.9,1.0905240868184176,0.751084311858663,-0.33851687295037847,1,1.0,1,375,100.0,True,0,2
BHARTIARTL,2025-09-02,1900.5,1904.5,1888.7,0.00210470928702966,0.22578104489368034,0.7508532423208287,202565.0,4410423.0,8354211269.4,2.0740351798372276,0.45578373847443565,-1.613579212070404,1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-09-03,1888.7,1891.0,1882.8,0.0012177688357071226,-0.7615018508725591,0.84082496033845,282385.0,3737846.0,7027890102.6,1.1686938127974569,0.8259618458914986,-0.3516998827666984,-1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-09-04,1882.8,1899.0,1879.8,0.008604206500955947,-0.33175355450236754,0.7898894154818324,267526.0,5125070.0,9652977285.7,1.416535018430758,0.5706134094151105,-0.850636656628101,-1,1.0,1,375,100.0,True,0,2
BHARTIARTL,2025-09-05,1879.8,1887.0,1894.5,0.0038301947015639826,0.037095919448870696,0.6200317965023872,146232.0,2613261.0,4948218666.8,1.8547959724430314,1.2184139428934593,-0.635694231074857,1,1.0,1,375,100.0,True,0,2
BHARTIARTL,2025-09-08,1894.5,1898.0,1886.0,0.001847453153866363,-0.4478398314014753,0.6480505795574265,131800.0,2535777.0,4795088057.6,0.7850368809272966,0.39163799947077305,-0.28578989150569445,-1,1.0,1,375,100.0,True,0,2
BHARTIARTL,2025-09-09,1886.0,1892.0,1893.4,0.0031813361611876534,0.09513742071880493,0.3858350951374183,210476.0,4501216.0,8522751910.0,1.1099365750528543,0.538599640933568,-0.5702819727531949,1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-09-10,1893.4,1904.0,1893.9,0.0055983944227315785,-0.031512605042016695,0.35714285714285476,189157.0,3526824.0,6673331746.3,1.1554621848739497,0.06304507723020603,-1.0717663129137356,-1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-09-11,1893.9,1884.0,1914.2,-0.0052273087280215735,0.23885350318471055,0.3980891719745223,224895.0,4661514.0,8876629113.300001,1.7993630573248456,1.456182155149599,-0.1694466507810466,1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-09-12,1914.2,1925.0,1903.0,0.00564204367359733,-0.5038961038961065,0.6233766233766234,226156.0,3152059.0,6023599917.1,1.2155844155844202,0.16707565394455948,-0.7152926434501161,-1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-09-15,1903.0,1904.0,1907.5,0.0005254860746191081,0.17857142857142794,0.5514705882352942,298957.0,3501650.0,6667790959.800001,0.7668067226890708,0.29359337317813594,-0.45611827618747824,1,1.0,1,375,100.0,True,0,2
BHARTIARTL,2025-09-16,1907.5,1903.3,1941.1,-0.0022018348623853434,0.4886250197026154,0.6042137340408764,233033.0,5415578.0,10452155694.8,2.0753428256186623,1.5371745268221382,-0.18299696747882122,1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-09-17,1941.1,1938.1,1940.5,-0.0015455154293957385,0.18574892936382703,0.47985140085651834,296009.0,4199058.0,8158973931.599999,0.9029461844074095,0.4326105989596707,-0.35535870628831123,1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-09-18,1940.5,1944.5,1938.1,0.0020613244009275444,-0.030856261249678774,0.4525584983286169,277498.0,5050595.0,9788046635.7,1.5068140910259684,0.24692628221616442,-1.2037656258037988,-1,1.0,0,375,100.0,True,0,2
BHARTIARTL,2025-09-19,1938.1,1930.2,1959.9,-0.004076157061039143,0.49735778675783493,0.6216972334473112,748623.0,11118555.0,21730042584.7,2.5385970365765202,1.9074131353747914,-0.3763274564388075,1,1.0,1,375,100.0,True,0,2
BHARTIARTL,2025-09-22,1959.9,1954.0,1956.0,-0.00301035767130986,-0.025588536335718892,0.7625383828045083,341579.0,4410918.0,8629072560.8,1.1258955987717503,0.6398771435884409,-0.18940363450218323,-1,0.0,1,375,100.0,True,0,2
BHARTIARTL,2025-09-23,1956.0,1950.0,1939.5,-0.0030674846625766694,-0.09743589743590464,0.46153846153846156,229629.0,4306214.0,8358313418.499999,1.2769230769230815,0.09239772085622988,-0.9239772085621878,-1,1.0,0,375,100.0,True,0,2
