gap_rank,symbol,valid_sessions,median_abs_gap_pct,p75_abs_gap_pct,p90_abs_gap_pct,p95_abs_gap_pct,p99_abs_gap_pct,mean_abs_gap_pct,gap_up_0.5_rate,gap_down_0.5_rate,gap_up_0.75_rate,gap_down_0.75_rate,gap_up_1_rate,gap_down_1_rate,large_gap_0.5_rate,large_gap_0.75_rate,large_gap_1_rate,max_abs_gap_pct,gap_burden_rank
370,MAHABANK,245,0.0038506613092248,0.0068696120689655,0.012629601575518856,0.023295879330706454,0.04407078743542594,0.006243545299822974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0529490616621982,0.6455
371,SWIGGY,245,0.0041867546308043,0.0077205882352942,0.012900089161573876,0.02019128586609978,0.03449134542040721,0.006125198956618084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0458545622973599,0.648
372,TMPV,244,0.0035726149942369497,0.007357994442913875,0.01579591757980574,0.020362345889094993,0.04466642011834301,0.006460999653229398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0664928292046935,0.6495
373,SIGNATURE,244,0.00367409286878305,0.00732145500316615,0.013952947359804933,0.021509047069960544,0.033022374273610836,0.006106199880758064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0657397107897663,0.6505000000000001
374,GMRAIRPORT,245,0.0038305543037402,0.0066554180727409,0.012968862864944716,0.022797681402332667,0.0357888405688001,0.005859340385921504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0401891252955084,0.6535
375,ONESOURCE,245,0.0043644298963447,0.0081805359661494,0.0130022374016864,0.019193411346696006,0.037910717086513196,0.006261260237460962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0436755530346,0.6535
376,IOC,245,0.0034997500178559,0.0064958762134152,0.014503556272541358,0.022617563248766067,0.040048574392187564,0.006066038740263849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0616184112843356,0.6545
377,ASHOKLEY,245,0.003534183082271,0.0073014453881685,0.01404955839178854,0.02342122849542036,0.0431884721275276,0.006373224137251819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082906991997901,0.6555
378,OFSS,245,0.0039301310043668,0.0074987159732922,0.01460374776068104,0.019198460612511573,0.04364454810399661,0.006265730700133033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0698924731182795,0.6575
379,PREMIERENE,245,0.0044673074319749,0.0082074852265265,0.01356476897967612,0.018142728502914898,0.03616837446893688,0.006680795831242987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1048892870856263,0.6575
380,MANAPPURAM,245,0.0038069133546521,0.008350374914792,0.01495554798079988,0.01966136782233229,0.03147244514533796,0.006405271121642542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0386219401631912,0.659
381,HDFCBANK,245,0.0050251256281406,0.0081950207468879,0.013719668633750159,0.017504801797388257,0.0381765706418046,0.006851147117905516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0855106888361044,0.662
382,ADANIGREEN,245,0.0038691523039042,0.0067567567567567,0.013665667057817818,0.020970022703036186,0.03820195452018132,0.006179016891672019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0934911242603551,0.6639999999999999
383,M&MFIN,245,0.0043422322290125,0.0076286527023532,0.014031615559722837,0.018218273759607544,0.03891776644209104,0.006282540833552825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0544839255499154,0.6639999999999999
384,CGCL,245,0.0043243243243242,0.00847936687394,0.013994043524763978,0.018312715521236218,0.026091450098538978,0.006036423499320428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0561718196837386,0.6645
385,KALYANKJIL,245,0.003430984428609,0.0062774013551214,0.014828830239685599,0.024342628890285187,0.0515051978145086,0.006317631903909508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064388961892247,0.6655
386,SPLPETRO,230,0.0054872223009200995,0.0093636298664171,0.01371341772981118,0.017420097453588582,0.03642535730651543,0.007165947648706511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1005836575875486,0.666
387,BLS,245,0.0037827715355804,0.0078597339782346,0.013944085888219755,0.021761841522797542,0.053428391478530735,0.0071894484883652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1703166617342407,0.6665000000000001
388,MAPMYINDIA,245,0.0041649061387094,0.0077153204219808,0.013115967418929134,0.020700327082766833,0.035890808923922136,0.005981334672586143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0528052805280527,0.6665000000000001
389,BSE,245,0.004083299305839,0.0072471755304491,0.01371033814083144,0.020008059856320565,0.0471390922669655,0.006610610141585554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0707364661529812,0.667
